num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - d2fed85561e52e67. Mean loss in evaluation epoch: 0.12001001834869385, epochs needed: 200
evaluating individudal 1 - 730fa6e3e638ca71. Mean loss in evaluation epoch: 0.11411171406507492, epochs needed: 200
evaluating individudal 2 - 82ef13213b58adc5. Mean loss in evaluation epoch: 0.1223490759730339, epochs needed: 200
evaluating individudal 3 - be33ea46d45f6b7e. Mean loss in evaluation epoch: 0.11598715931177139, epochs needed: 200
evaluating individudal 4 - 4e1a2f6fa3bb0ffa. Mean loss in evaluation epoch: 0.1199662834405899, epochs needed: 200
evaluating individudal 5 - bacf5b81d242ad94. Mean loss in evaluation epoch: 0.11962325870990753, epochs needed: 200
evaluating individudal 6 - 41a259c8e8096d5f. Mean loss in evaluation epoch: 0.11616356670856476, epochs needed: 200
evaluating individudal 7 - c44aafdb8c601f85. Mean loss in evaluation epoch: 0.1162792220711708, epochs needed: 200
evaluating individudal 8 - 65c9713bbf31ef71. Mean loss in evaluation epoch: 0.11640562862157822, epochs needed: 200
evaluating individudal 9 - 2b55a2153cc58e15. Mean loss in evaluation epoch: 0.11330585926771164, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 2b55a2153cc58e15, num_times_seen_before: 0
ACC: 0.4526315789473684
TPR/FPR: 0.5277777777777778, 0.564935064935065
Loss: 0.11330585926771164
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 13873e341e62a4ed. Mean loss in evaluation epoch: 0.12250246107578278, epochs needed: 200
evaluating individudal 1 - 1bfab9e210301aba. Mean loss in evaluation epoch: 0.11761905252933502, epochs needed: 200
evaluating individudal 2 - 68837ee9a6010520. Mean loss in evaluation epoch: 0.11635465919971466, epochs needed: 200
evaluating individudal 3 - 61d7d6c8cdca2cf6. Mean loss in evaluation epoch: 0.11527126282453537, epochs needed: 200
evaluating individudal 4 - 16308fc1785c54e5. Mean loss in evaluation epoch: 0.11849471181631088, epochs needed: 200
evaluating individudal 5 - 1074e0a291d6688c. Mean loss in evaluation epoch: 0.1277502328157425, epochs needed: 200
evaluating individudal 6 - 78313df24f4a1651. Mean loss in evaluation epoch: 0.1134459525346756, epochs needed: 200
evaluating individudal 7 - ed3dc10bce58adac. Mean loss in evaluation epoch: 0.11588145792484283, epochs needed: 200
evaluating individudal 8 - ff95a0199d2d5480. Mean loss in evaluation epoch: 0.11483938992023468, epochs needed: 200
evaluating individudal 9 - 2408a8b51f7c47cb. Mean loss in evaluation epoch: 0.11839216202497482, epochs needed: 200
evaluating individudal 10 - 298ae379dd5b01e9. Mean loss in evaluation epoch: 0.117564357817173, epochs needed: 200
evaluating individudal 11 - d92be6eb1d5ce6cc. Mean loss in evaluation epoch: 0.11422183364629745, epochs needed: 200
evaluating individudal 12 - 41979736ddaaf9f6. Mean loss in evaluation epoch: 0.11664624512195587, epochs needed: 200
evaluating individudal 13 - ed7d07f63bf103fb. Mean loss in evaluation epoch: 0.11597352474927902, epochs needed: 200
evaluating individudal 14 - 197e5717922a6952. Mean loss in evaluation epoch: 0.11815780401229858, epochs needed: 200
evaluating individudal 15 - e967c58fa61c7cca. Mean loss in evaluation epoch: 0.11417435854673386, epochs needed: 200
evaluating individudal 16 - a8f9c15a522a8258. Mean loss in evaluation epoch: 0.12036110460758209, epochs needed: 200
evaluating individudal 17 - 321f0217cc453922. Mean loss in evaluation epoch: 0.11401350796222687, epochs needed: 200
evaluating individudal 18 - 6473c5711fdbae30. Mean loss in evaluation epoch: 0.1316949427127838, epochs needed: 200
evaluating individudal 19 - 51a26a317c87fb1d. Mean loss in evaluation epoch: 0.11635501682758331, epochs needed: 200
evaluating individudal 20 - 81f5c03635848d06. Mean loss in evaluation epoch: 0.11209455877542496, epochs needed: 200
evaluating individudal 21 - d04a4e4540e82b30. Mean loss in evaluation epoch: 0.12144732475280762, epochs needed: 200
evaluating individudal 22 - 05656590c279f5bb. Mean loss in evaluation epoch: 0.11930769681930542, epochs needed: 200
evaluating individudal 23 - e0ed938e6cb3283e. Mean loss in evaluation epoch: 0.11968361586332321, epochs needed: 200
evaluating individudal 24 - 8ba283ae87e252ac. Mean loss in evaluation epoch: 0.12347006797790527, epochs needed: 200
