num samples: 5000
NUM_TRAIN_SAMPLES: 4999
NUM_TRAIN_BATCHES: 50
NUM_TEST_SAMPLES: 4999
NUM_TEST_BATCHES: 50
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba10_5k_0.15.pickle
../data/final/edges_ba10.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 40
NUM_DYN_EPOCHS_INIT: 40
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
--------------------- Start training ------------------------
evaluating individudal 0 - c991f7e4d2dd6f24. Mean loss in evaluation epoch: 0.38539478182792664, epochs needed: 40
evaluating individudal 1 - 8b00a6ece076a208. Mean loss in evaluation epoch: 0.38275283575057983, epochs needed: 40
evaluating individudal 2 - 5953d1fb95930a92. Mean loss in evaluation epoch: 0.38651320338249207, epochs needed: 40
evaluating individudal 3 - f1b19bd2c9e7af86. Mean loss in evaluation epoch: 0.3887241780757904, epochs needed: 40
evaluating individudal 4 - ecb05e51c66ad061. Mean loss in evaluation epoch: 0.38613763451576233, epochs needed: 40
evaluating individudal 5 - b18f9d0d6875509a. Mean loss in evaluation epoch: 0.3878878057003021, epochs needed: 40
evaluating individudal 6 - f928c1e0b8fd4643. Mean loss in evaluation epoch: 0.38803794980049133, epochs needed: 40
evaluating individudal 7 - ff30c51e1e76bd04. Mean loss in evaluation epoch: 0.3873978853225708, epochs needed: 40
evaluating individudal 8 - 42134797ccdf0a92. Mean loss in evaluation epoch: 0.389732301235199, epochs needed: 40
evaluating individudal 9 - 96b2dff63632cc4a. Mean loss in evaluation epoch: 0.38496237993240356, epochs needed: 40
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 8b00a6ece076a208, num_times_seen_before: 0
ACC: 0.4444444444444444
TPR/FPR: 0.375, 0.5172413793103449
Loss: 0.38275283575057983
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 347966efaf28c1fe. Mean loss in evaluation epoch: 0.383051335811615, epochs needed: 40
evaluating individudal 1 - 06947dac19e76a4c. Mean loss in evaluation epoch: 0.3834051191806793, epochs needed: 40
evaluating individudal 2 - e9cfe2b7516d1d37. Mean loss in evaluation epoch: 0.38740938901901245, epochs needed: 40
evaluating individudal 3 - 6356ac9baa55696f. Mean loss in evaluation epoch: 0.38149628043174744, epochs needed: 40
evaluating individudal 4 - 22c4540139149e39. Mean loss in evaluation epoch: 0.38353124260902405, epochs needed: 40
evaluating individudal 5 - 882bb2bc87d39f6c. Mean loss in evaluation epoch: 0.38413700461387634, epochs needed: 40
evaluating individudal 6 - 4c0f260b65ba9346. Mean loss in evaluation epoch: 0.3838975727558136, epochs needed: 40
evaluating individudal 7 - 8c3d82670cd77bd7. Mean loss in evaluation epoch: 0.3836533725261688, epochs needed: 40
evaluating individudal 8 - 37f46190f69ccd16. Mean loss in evaluation epoch: 0.3835875689983368, epochs needed: 40
evaluating individudal 9 - 9249c25fc143e82b. Mean loss in evaluation epoch: 0.3878903388977051, epochs needed: 40
evaluating individudal 10 - ffe177044d57315f. Mean loss in evaluation epoch: 0.38231414556503296, epochs needed: 40
evaluating individudal 11 - 3b5b5a868d55cf36. Mean loss in evaluation epoch: 0.38459163904190063, epochs needed: 40
evaluating individudal 12 - 761c31b6175867b1. Mean loss in evaluation epoch: 0.384988009929657, epochs needed: 40
evaluating individudal 13 - dfed934a975caaaf. Mean loss in evaluation epoch: 0.3847357928752899, epochs needed: 40
evaluating individudal 14 - decba815dc636b93. Mean loss in evaluation epoch: 0.380368173122406, epochs needed: 40
evaluating individudal 15 - 4552659c73c0ae81. Mean loss in evaluation epoch: 0.38468486070632935, epochs needed: 40
evaluating individudal 16 - 9dc70761a927e2d6. Mean loss in evaluation epoch: 0.384008526802063, epochs needed: 40
evaluating individudal 17 - 3cc95318c3a51ee1. Mean loss in evaluation epoch: 0.3811449110507965, epochs needed: 40
evaluating individudal 18 - e5bcebd0d3563067. Mean loss in evaluation epoch: 0.38920196890830994, epochs needed: 40
evaluating individudal 19 - ca8f4d886301351e. Mean loss in evaluation epoch: 0.383303165435791, epochs needed: 40
evaluating individudal 20 - 641cf6b92c3e054d. Mean loss in evaluation epoch: 0.3819594383239746, epochs needed: 40
evaluating individudal 21 - 456d48b754aeb35c. Mean loss in evaluation epoch: 0.38253214955329895, epochs needed: 40
evaluating individudal 22 - 87413ccada2d2455. Mean loss in evaluation epoch: 0.3867354393005371, epochs needed: 40
evaluating individudal 23 - a2ea94f264ea52cd. Mean loss in evaluation epoch: 0.3809584081172943, epochs needed: 40
evaluating individudal 24 - d009685c6fadebeb. Mean loss in evaluation epoch: 0.3822607398033142, epochs needed: 40
evaluating individudal 25 - e540c6c9552beea7. Mean loss in evaluation epoch: 0.3831447958946228, epochs needed: 40
evaluating individudal 26 - 937aa33e30279781. Mean loss in evaluation epoch: 0.3822537958621979, epochs needed: 40
evaluating individudal 27 - 1c4422d5dd3c5dfd. Mean loss in evaluation epoch: 0.38407766819000244, epochs needed: 40
evaluating individudal 28 - 1f339e11f03ee139. Mean loss in evaluation epoch: 0.38306376338005066, epochs needed: 40
evaluating individudal 29 - e1f89a362f55f2d5. Mean loss in evaluation epoch: 0.3824531137943268, epochs needed: 40
evaluating individudal 30 - 1313c2548de2db1c. Mean loss in evaluation epoch: 0.38249608874320984, epochs needed: 40
evaluating individudal 31 - 2e9c21247e0b04da. Mean loss in evaluation epoch: 0.383512943983078, epochs needed: 40
evaluating individudal 32 - 443aa0bf38b619cb. Mean loss in evaluation epoch: 0.3821045160293579, epochs needed: 40
evaluating individudal 33 - acce3c6c0cb4294b. Mean loss in evaluation epoch: 0.38499000668525696, epochs needed: 40
evaluating individudal 34 - aac2aeaece60c685. Mean loss in evaluation epoch: 0.38341274857521057, epochs needed: 40
evaluating individudal 35 - 92f36ec0050bf46c. Mean loss in evaluation epoch: 0.38296741247177124, epochs needed: 40
evaluating individudal 36 - a65b43bdc57c0c71. Mean loss in evaluation epoch: 0.38126707077026367, epochs needed: 40
